gene,baseMean,log2FoldChange,lfcSE,pvalue,padj
Xkr4,242.409185519549,-6.56118285617164e-07,0.00144268455468003,0.807500625315301,0.999075603798061
Gm1992,6.89875229970241,-2.75080036181295e-07,0.00144269280167182,0.825671716417327,0.999075603798061
Gm19938,12.1228876056929,1.97181912356937e-06,0.0014426929619955,0.160972043281749,0.999075603798061
Gm37381,2.98727046836331,8.61761252598149e-08,0.00144269447898003,0.898785514707479,0.999075603798061
Rp1,36.0747450345595,-4.39658992885298e-07,0.0014426939039445,0.628538067147703,0.999075603798061
Sox17,0.0494841540045504,-1.16448708992079e-08,0.00144269503382677,0.892521088174541,0.999075603798061
Gm37323,0.769259576786411,-2.06975443816273e-07,0.00144269475257636,0.756372273444292,0.999075603798061
Mrpl15,21.2220657183683,8.94932249283921e-07,0.00144268921671493,0.67210754050315,0.999075603798061
Lypla1,40.139472096002,4.5310722778492e-06,0.00144269018748621,0.0667338483449179,0.999075603798061
Tcea1,79.6993823629928,-9.60051825091481e-07,0.00144267955527756,0.773329878481146,0.999075603798061
Rgs20,171.51306180944,2.01534816102327e-06,0.00144269262549125,0.185803429376884,0.999075603798061
Gm16041,0.198195841815135,-1.45954452158148e-08,0.00144269503203856,0.892525040845293,0.999075603798061
Atp6v1h,84.5272600820238,2.91228265012022e-07,0.00144267751740959,0.936898738801244,0.999075603798061
Oprk1,4.5611526805215,7.27806392474683e-07,0.00144269416716513,0.356719340838068,0.999075603798061
Npbwr1,0.0238045007634082,-1.08085410445976e-08,0.00144269503423106,0.89252044084863,0.999075603798061
Rb1cc1,130.361265544971,2.02493394889637e-06,0.00144266858921758,0.645659149103001,0.999075603798061
4732440D04Rik,37.8274635978473,-1.63161947385085e-07,0.00144269062848881,0.926222611324675,0.999075603798061
Alkal1,0.158783906497405,-5.11198970337218e-08,0.00144269500903414,0.905489632701588,0.999075603798061
St18,61.9684062155455,1.60526152521752e-07,0.00144269160088139,0.921892562187541,0.999075603798061
Pcmtd1,146.406605754696,1.36265133107703e-06,0.00144265520982983,0.801249829596803,0.999075603798061
Gm26901,5.5906297620994,-7.07541712733684e-07,0.00144269297255517,0.562210772984118,0.999075603798061
Gm30414,0.0639849238449001,1.18652785195117e-07,0.00144269500799297,0.744187478850458,0.999075603798061
Sntg1,222.171622160305,1.78316700512847e-06,0.00144268772593171,0.453864715754324,0.999075603798061
Rrs1,2.21164389189213,-1.72583317190328e-06,0.00144269484220339,0.0174178832638916,0.999075603798061
Adhfe1,25.3647092671994,3.64024871563715e-07,0.00144268879757185,0.863165242175444,0.999075603798061
2610203C22Rik,3.50185290729607,-4.02180316913327e-07,0.00144269396759379,0.634028889010039,0.999075603798061
Vxn,1.11944687742887,-2.5168862557378e-07,0.00144269477332881,0.629292904304784,0.999075603798061
Mybl1,3.36671301475831,-8.80479919116027e-07,0.00144269355730461,0.42028046847544,0.999075603798061
Vcpip1,27.7590095609014,-1.67089811495695e-06,0.0014426865060179,0.512968035189359,0.999075603798061
1700034P13Rik,0.667579743265724,-3.25541441303451e-07,0.0014426948023239,0.559948252915519,0.999075603798061
Sgk3,117.724319000263,-5.03171018110642e-08,0.00144269220237303,0.97570046746228,0.999075603798061
Mcmdc2,4.70937237517947,1.12108506081457e-07,0.00144269338322126,0.921770054651996,0.999075603798061
Snhg6,4.15838409541439,-5.8515813432766e-07,0.00144269372229261,0.569076970540869,0.999075603798061
Tcf24,0.887712331085902,-1.4630622869048e-07,0.00144269465472907,0.823987130381226,0.999075603798061
Ppp1r42,33.4862071082294,-3.6200008887477e-06,0.00144268932347075,0.267297695658789,0.999075603798061
Gm15818,0.432062843395654,-7.75600129295774e-08,0.0014426947869522,0.941939223541841,0.999075603798061
Cops5,39.7945612602534,-2.039495198044e-06,0.00144268465990121,0.469681184903569,0.999075603798061
Cspp1,325.139851546391,-1.4700316753039e-06,0.0014426599207205,0.771961297880628,0.999075603798061
Arfgef1,145.270685010896,8.67313107052243e-08,0.00144266208475974,0.98705843105195,0.999075603798061
Cpa6,2.67804809684255,9.36395506316904e-08,0.00144269384019412,0.923248988049511,0.999075603798061
Prex2,134.290705326098,3.52119866397196e-06,0.00144269088987556,0.102714041939893,0.999075603798061
A830018L16Rik,155.539535016449,5.53662061684826e-07,0.00144269232401477,0.701215699956182,0.999075603798061
Gm17644,0,NA,NA,NA,NA
Sulf1,568.654989971392,-3.59309529242579e-09,0.00144269309377967,0.990697079039399,0.999075603798061
Slco5a1,5.68572655979548,1.4058483255066e-06,0.00144269409548315,0.13717756461044,0.999075603798061
Gm29283,0,NA,NA,NA,NA
Prdm14,0,NA,NA,NA,NA
Ncoa2,209.198682076391,3.39476999197107e-06,0.00144266472310639,0.484525015176389,0.999075603798061
Gm29570,1.31767910452498,-9.66079065685849e-07,0.00144269481124141,0.101419867216876,0.999075603798061
Tram1,26.530162294932,1.15525518764994e-07,0.00144268849932687,0.966150885375523,0.999075603798061
Lactb2,53.529683197653,4.20173838591512e-07,0.00144268386856227,0.885747393551783,0.999075603798061
Xkr9,0.212663246365638,1.1345049062891e-07,0.00144269497334843,0.858079680542466,0.999075603798061
Eya1,12.5366319588216,1.54288348972497e-06,0.00144269226190105,0.30907521136763,0.999075603798061
Gm9947,0.386808847377329,-2.74370123782284e-07,0.00144269494832802,0.601853782665605,0.999075603798061
Msc,0.190036884583232,-1.45222211580969e-08,0.00144269503213939,0.892523249493346,0.999075603798061
Trpa1,0.0454725456707906,-8.01409533749239e-08,0.00144269500957459,0.945311624937493,0.999075603798061
Kcnb2,190.650990485571,-7.03178934034064e-07,0.00144268797482818,0.753870121178344,0.999075603798061
Terf1,45.9855211495708,2.13869965568264e-06,0.00144268216160723,0.498276887106111,0.999075603798061
Sbspon,6.1201651041304,-1.34754181192939e-06,0.00144269353995524,0.245956793908145,0.999075603798061
4930444P10Rik,17.4656209892935,-1.75609485581629e-06,0.00144269264406597,0.224869111950592,0.999075603798061
Rpl7,14.0408126802701,5.30290599073819e-07,0.00144269115340227,0.753268408468228,0.999075603798061
Rdh10,26.0588965849667,-1.7840189272667e-06,0.00144268879453885,0.414540162258765,0.999075603798061
Gm28095,0.261191730256997,-3.30609082317154e-08,0.0014426949673644,0.939804016536609,0.999075603798061
Stau2,151.026813428341,-4.86141696894263e-06,0.0014426655218783,0.325816255490734,0.999075603798061
Gm7568,0.81212861768655,-4.5849319302976e-07,0.00144269467860506,0.484059188233721,0.999075603798061
Ube2w,96.1534620086763,-8.7361367048928e-07,0.00144267154989142,0.8306283778691,0.999075603798061
Eloc,16.9140266749508,3.71971715410093e-07,0.0014426879463005,0.872369640413529,0.999075603798061
D030040B21Rik,0.392156880895402,-2.67026680859852e-07,0.00144269495301318,0.609460737846019,0.999075603798061
Tmem70,9.07210049439511,-9.02771436205053e-09,0.00144269129649679,0.994115066153216,0.999730288107846
Ly96,3.45633726802518,-1.06852323979679e-06,0.00144269344898241,0.363477911912106,0.999075603798061
Gm28376,83.1141996808661,1.23215286603492e-07,0.00144269336097084,0.916256081351213,0.999075603798061
Jph1,122.726849345378,-2.46255289339182e-07,0.00144269334950348,0.821221637381995,0.999075603798061
Gm28783,0.0251430035290794,1.28716885415172e-08,0.00144269503422287,0.892520433273609,0.999075603798061
Gdap1,17.2740883699952,4.81923726115346e-07,0.0014426916070688,0.757922510111966,0.999075603798061
Gm28784,0,NA,NA,NA,NA
Pi15,2.96135876000986,-1.03099344312378e-06,0.00144269458786508,0.12976820814805,0.999075603798061
Gm28154,1.5735204241195,-2.06943284512092e-07,0.00144269466067506,0.63917770789913,0.999075603798061
Gm16070,4.39495088657168,-7.35822486775411e-07,0.00144269436710674,0.341972796749989,0.999075603798061
Crispld1,5.09578142490379,-6.75104470725403e-08,0.00144269411264413,0.932576175992885,0.999075603798061
Gm28153,2.64802723695525,-7.641475337557e-07,0.00144269406621903,0.296665420502787,0.999075603798061
Gm28756,4.85027858147452,2.08010544699148e-06,0.00144269436504253,0.0346981386683431,0.999075603798061
Crisp4,0,NA,NA,NA,NA
Defb41,0,NA,NA,NA,NA
Gm15825,0.299596748625551,-1.57923899413532e-07,0.00144269497225228,0.868270376382292,0.999075603798061
Tfap2d,2.31246915754998,1.73431834266246e-08,0.00144269465048423,0.922762650927643,0.999075603798061
Tfap2b,1.30990475693729,-1.83689367641653e-08,0.0014426950289019,0.818442250644933,0.999075603798061
Pkhd1,4.94637832143879,8.48503473898205e-07,0.00144269427805966,0.321206708030758,0.999075603798061
4930486I03Rik,0.1279698476898,1.83076597193093e-07,0.00144269501297545,0.665998023649815,0.999075603798061
Gm28653,0,NA,NA,NA,NA
Il17f,0.189141087723969,5.59527651015786e-08,0.00144269500801632,0.66624188862582,0.999075603798061
Mcm3,1.16656208403532,-3.93225338817892e-07,0.0014426949165824,0.504420019038029,0.999075603798061
6720483E21Rik,1.40830958100076,7.93631464589237e-07,0.00144269481432177,0.142959279448465,0.999075603798061
Paqr8,27.4075188648873,1.15460406827672e-06,0.00144269167338955,0.462236467013781,0.999075603798061
Efhc1,36.2021615095416,-2.46255846191396e-06,0.00144268793083633,0.311914599341677,0.999075603798061
Tram2,24.0176004904385,-2.33056181848864e-06,0.00144269212075163,0.178226348690215,0.999075603798061
Tmem14a,3.91279174657777,4.60404165801571e-08,0.00144269349858395,0.96688662260398,0.999075603798061
Gsta3,4.26928163660951,-1.07864160434828e-06,0.00144269390197982,0.29454533352209,0.999075603798061
Gm28836,0.732569032650363,2.20204161564117e-07,0.00144269468321768,0.685453062627802,0.999075603798061
Khdc1a,0,NA,NA,NA,NA
Khdc1c,0,NA,NA,NA,NA
Khdc1b,0,NA,NA,NA,NA
Kcnq5,246.664352647347,5.1313266119772e-06,0.00144269498697942,0.00642381374685858,0.999075603798061
Rims1,228.348189257773,7.0014685261452e-07,0.00144268849463868,0.74919548739316,0.999075603798061
Gm29506,0.948865628844701,1.30703791238056e-07,0.00144269472905852,0.856438058321614,0.999075603798061
Gm27028,0.124376514879726,-1.35178019840653e-08,0.00144269503252534,0.892523737657206,0.999075603798061
Gm29107,2.71575390984256,-4.39315166995864e-07,0.00144269352485595,0.678161972595448,0.999075603798061
Ogfrl1,14.8675068271619,-4.84193935582268e-07,0.00144269139832026,0.755039376690847,0.999075603798061
Gm28822,0.435270521094447,-6.95245973974433e-08,0.00144269485581819,0.945404226428166,0.999075603798061
B3gat2,12.8850913299303,2.52325072837965e-06,0.00144269180467564,0.156885218537322,0.999075603798061
Smap1,71.0430611364476,1.93611569046851e-06,0.00144267716334722,0.599767064902342,0.999075603798061
Sdhaf4,10.1735242352583,8.20190566388033e-07,0.00144269179682651,0.594121689480696,0.999075603798061
Fam135a,116.842889135812,2.7630011945751e-06,0.0014426706066452,0.522799456243918,0.999075603798061
Col9a1,5.28285341953817,1.34396718365928e-06,0.00144269408408296,0.162702606200848,0.999075603798061
Col19a1,5.29381550708707,7.18091352619856e-07,0.00144269364562705,0.503280226600853,0.999075603798061
Lmbrd1,126.60840392868,-5.72751047663877e-07,0.00144268261371939,0.84838298981687,0.999075603798061
Gm29414,0.0238045007634082,-1.08085410445976e-08,0.00144269503423106,0.89252044084863,0.999075603798061
Adgrb3,767.321851444342,3.45407907113532e-06,0.00144268802613988,0.180100785780776,0.999075603798061
Gm5524,0,NA,NA,NA,NA
Gm597,0,NA,NA,NA,NA
Gm9898,0,NA,NA,NA,NA
Phf3,138.6178083468,3.22726687695425e-06,0.00144266424440805,0.505329594165374,0.999075603798061
Ptp4a1,1.82512104226162,2.48156702869125e-07,0.00144269417608723,0.757854551110965,0.999075603798061
Ptp4a1.1,0.199030712053846,-9.58740891512752e-08,0.00144269501026313,0.905489802739008,0.999075603798061
4931428L18Rik,0.328398703310119,-4.99312959842926e-07,0.00144269501675835,0.579920210934357,0.999075603798061
Gm29128,0,NA,NA,NA,NA
Lgsn,0,NA,NA,NA,NA
Khdrbs2,89.6654330915475,-1.90107498635946e-06,0.00144268816918382,0.409040616154305,0.999075603798061
Gm5415,0.253994247097426,1.24720180274213e-07,0.00144269501024077,0.66624329027418,0.999075603798061
Gm37724,0.11037305191698,-9.08471135357874e-08,0.00144269500965089,0.905492566236273,0.999075603798061
Gm37591,0,NA,NA,NA,NA
Prim2,36.7585608000651,-3.7102000795901e-08,0.00144268931732995,0.982197517717315,0.999075603798061
Rab23,16.3500825673534,3.76730524531316e-08,0.001442688211884,0.987450930494849,0.999075603798061
Bag2,8.57667879834548,1.8794531605951e-06,0.00144269289689984,0.188015279986933,0.999075603798061
Zfp451,62.0605762014048,-1.31349150730411e-06,0.00144267671400239,0.783264178474275,0.999075603798061
Bend6,28.8556760355683,7.83586008462574e-07,0.00144269095022411,0.649493307665529,0.999075603798061
Dst,389.505845174899,-5.88198741838732e-07,0.00144267631720465,0.870804376544924,0.999075603798061
Gm26788,2.64526228116352,-3.7656107447314e-07,0.00144269406373084,0.644309803353176,0.999075603798061
Gm37233,1.43183827722609,-1.19945680666053e-07,0.00144269432508979,0.884559582850094,0.999075603798061
Ccdc115,3.46458387659344,-6.37360725965401e-07,0.0014426932938983,0.82499095420133,0.999075603798061
Gm28306,0,NA,NA,NA,NA
Imp4,4.90092163006375,6.57084941779957e-07,0.00144269339431205,0.557181473757203,0.999075603798061
Ptpn18,13.0189899233972,-5.8286705947791e-07,0.00144269318825121,0.6164307124011,0.999075603798061
Gm28417,1.38786475600561,4.43150961951924e-07,0.00144269473758882,0.456247086503203,0.999075603798061
4930568A12Rik,0,NA,NA,NA,NA
Cfc1,0.0251430035290794,1.28716885415172e-08,0.00144269503422287,0.892520433273609,0.999075603798061
Prss40,0,NA,NA,NA,NA
1700101I19Rik,0,NA,NA,NA,NA
Amer3,0.879098283609305,-1.88757369700377e-07,0.00144269484027417,0.730984084044737,0.999075603798061
Arhgef4,137.152861962197,1.29488455838763e-06,0.00144269172738587,0.424676461686608,0.999075603798061
Gm38336,0.989629435400712,1.95344010123937e-07,0.00144269467553556,0.716901566682345,0.999075603798061
Fam168b,52.7793812437204,-9.37874829631597e-07,0.00144268053367363,0.771828067709228,0.999075603798061
