gene,baseMean,log2FoldChange,lfcSE,pvalue,padj
Mrc2,25.2328017880104,2.50317386962128,0.455031479969189,2.80527955532713e-09,3.11217713867992e-05
AC149090.1,402.892843679474,-1.47464784825748,0.267182522286529,1.41244247207017e-09,3.11217713867992e-05
Gatm,117.240646589096,-1.66512951763208,0.405957667951595,1.48210514454749e-06,0.0109616496490733
Sfi1,133.995031485237,-2.30893271676221e-05,0.0014427534935826,3.44239675519195e-06,0.0190949748010498
Gm47283,130.280050205103,-1.48576874911862,0.394903023251484,6.09797598243776e-06,0.0270603782196658
Cdh23,111.291510719011,-1.79932255187145e-05,0.00144272842752754,1.13511654092405e-05,0.0419766096833713
