gene,baseMean,log2FoldChange,lfcSE,pvalue,padj
St6galnac5,152.194204767924,2.92477283117829,0.272604637254789,5.89864142113794e-28,7.7484553708068e-24
Ankfn1,31.5472485413291,-3.41905020318762,0.655400228260804,3.34923753816408e-09,2.19977921506617e-05
Gramd1b,116.923735496116,1.60877223718743,0.348310757802345,1.57275883464162e-07,0.000501740922365758
Acss3,352.269148457178,-0.905990031503395,0.19759056724539,1.90979340120949e-07,0.000501740922365758
Gm5089,60.3953250834037,-1.9083146991241,0.400098984217621,1.35803720210308e-07,0.000501740922365758
Dera,65.3471715324167,1.60393611293272,0.364105123015604,4.70851997484786e-07,0.00103085197316003
Gm42397,37.4951963857473,-2.50856935380507,0.584080930517118,1.03928984671871e-06,0.00170651392831213
Slc45a4,29.6089660143745,-1.39251624649996e-05,0.0014427180495072,9.5752268298715e-07,0.00170651392831213
Pigk,56.0463018481657,1.3268837975688,0.317842755219733,1.21679755723079e-06,0.00177598363464264
Cyp26b1,42.2159370426747,-1.99819329467918,0.493924104189139,1.73006882479105e-06,0.00227261840824552
Sema5a,143.812599947861,-0.938609927481211,0.232970073820876,2.13294172167449e-06,0.0025471202232651
Clec3b,29.3380981310013,-2.0922408355134,0.541557647032877,4.6017802807102e-06,0.00503741548061744
Sgcd,178.454610833428,1.34189632796182,0.354260942038111,5.17367193991093e-06,0.00522779650789769
Slc22a2,52.9062499104878,-1.41975513491372e-05,0.00144271555489084,1.4624310197168e-05,0.0137217813392857
Il31ra,54.7383405790298,-1.20627838666868,0.342911163527173,1.97798784464229e-05,0.0173218988848141
Serpina11,6.33852279674392,-4.80012287362321e-06,0.00144269808875314,2.50209402145556e-05,0.0205421919161502
Tmem64,156.713866928794,0.708809293213324,0.214339835526137,3.19969060633766e-05,0.0247241975322656
Gm17167,6.25851067669088,-4.88687785401606e-06,0.00144269738460677,3.46891223866706e-05,0.0253153506484058
Gng11,27.3538478800338,1.76360069292719,0.559416143009251,4.6476412138566e-05,0.0321323236764317
Robo2,137.19573482886,0.761078875802784,0.247561845072752,7.50850441697772e-05,0.0493158570107097
