gene,baseMean,log2FoldChange,lfcSE,pvalue,padj
Tnni1,242.479056131383,-2.84518826398822,0.233607552259968,2.20611497724107e-35,4.19845741318749e-31
7630403G23Rik,479.873734196563,-2.66419199203985,0.230218733613894,2.01970212340027e-32,1.92184755552152e-28
Ccdc61,47.1321981633161,-4.28807335060227,0.436397723070503,2.14407948522561e-23,1.36013255611095e-19
Aldh1a1,321.717638929734,-2.07993940849529,0.216564093278091,3.9570716573274e-23,1.88267576776494e-19
Gm33948,170.040976986611,-2.54828919339367,0.26704562046385,6.30351853977566e-23,2.39924522660941e-19
Tmem163,369.955838761946,-1.72273678537114,0.191443229011395,1.01007017875318e-20,3.2037742619753e-17
Scrg1,142.295289515977,3.18000081553771,0.377294344035899,1.48516085598167e-18,4.03772803574102e-15
Ston2,514.603022490267,0.97908443893888,0.123634929008852,1.21510188067954e-16,2.89057548640155e-13
Gm49767,93.9419237264588,-2.14625599594172,0.274049204774789,2.88682821692884e-16,6.10435864404142e-13
Slpi,133.046113760235,-1.956391989037,0.253201628143373,6.05289617372166e-16,1.15192667082097e-12
Gxylt1,348.30092467576,-0.947191836854514,0.124052536264149,1.13285858007165e-15,1.95994833066759e-12
Luzp2,2255.93431734326,1.14874508707549,0.158533440871897,2.05144749558795e-14,3.25342477404453e-11
Gm20110,39.1570894694447,5.06400619140269,0.697413637202407,2.64443367381246e-13,3.87124748048653e-10
Gm16233,43.2641420226868,-4.10971055836892,0.622173203987715,3.57881259600405e-12,4.86488446532523e-09
Slc1a5,54.3170979990048,2.03711312421826,0.314263527032681,4.70670954914518e-12,5.59833683936137e-09
Cfap54,148.047843784837,-1.33882151533729,0.206868537827406,4.44959376595242e-12,5.59833683936137e-09
A330072L02Rik,189.203068822269,-1.48578866079832,0.231764838990285,6.35676188110039e-12,7.11620796230715e-09
Gm43242,184.045484284382,-1.54517461862861,0.25592415497069,7.02359240857509e-11,7.08170913912721e-08
Tgfbr2,149.172797236032,-0.01325697695825,0.06479023379915,7.07017359273906e-11,7.08170913912721e-08
Gm47578,29.9379854243146,5.38082360713129,0.826803747650444,9.65803780269868e-11,9.19010587115793e-08
Gm49980,30.9649384572626,-0.0352251570734669,0.0789350167598385,1.89343421408948e-10,1.71590221563509e-07
Pvr,76.2397337317647,1.52100890880836,0.263274059464043,3.69403617869442e-10,3.19550920530607e-07
Cttnbp2,2228.74705415401,-0.821905951489978,0.15142336881821,2.18766769371507e-09,1.73472932829548e-06
Hdac11,599.983914056574,-0.729154417680053,0.133382184615021,2.10070725362102e-09,1.73472932829548e-06
BC051408,139.579399773226,-1.83127979968698,0.338064794066338,2.42676528683415e-09,1.84735080694963e-06
Gm42743,20.7329560092384,-5.2220319845398,0.912113925452817,4.49706563308888e-09,3.16976503938202e-06
Sav1,403.044950897252,-0.989717830361592,0.186020774401154,4.34358541221222e-09,3.16976503938202e-06
Zfp14,341.63481221795,1.1258749341255,0.214469314332316,6.43915560030342e-09,4.37655607962052e-06
Rps3a1,223.716511510057,0.824133705808534,0.16007124790342,1.1968484906021e-08,7.85421504298229e-06
AC149090.1,1500.8918866179,-2.17783971872267,0.426745264829443,1.30345438004564e-08,8.2686801022162e-06
Zfp951,56.5454504365296,-1.76252576037369,0.361612088501061,5.16891715593913e-08,3.07405194983368e-05
Npas1,80.2326190848313,1.83428788063344,0.376793578953559,5.16251980086704e-08,3.07405194983368e-05
A530053G22Rik,1877.65863965938,-1.81140506791476,0.376573414789043,5.55560376875791e-08,3.20389985827975e-05
Josd2,1021.95811961533,-0.93826383754168,0.201914137478967,1.41983206659185e-07,7.94730119391456e-05
Mettl7a2,22.3937230217141,-5.36250155387137,1.04073560928947,1.60149497621598e-07,8.70801454067607e-05
Pdk4,357.5706601008,2.36297137737504,0.515005292339331,1.74756270940165e-07,9.23829608961744e-05
A230001M10Rik,5000.0277174268,-0.797838608546709,0.175423593935654,2.25197132984308e-07,0.000115830449670929
Aim2,257.348315846594,0.920091467474694,0.202419721298883,2.379727420697e-07,0.000119180506692854
Smg9,94.8772726698039,-0.938832462140928,0.209289560267731,3.04973342702096e-07,0.000148819171409323
Ccnd3,243.504526813351,-1.28117794055257,0.28601029538671,3.30275981572651e-07,0.000157137055132728
Ctdspl,922.960148299714,0.653714793634688,0.146715947286403,3.54007250793096e-07,0.000164319804630327
Gm16251,24.7731596938382,2.18172279033031,0.484928133279112,4.61297974869229e-07,0.00020902289904134
Slc45a3,94.8630681502037,-1.14728653458043,0.262010968159237,4.90593041510624e-07,0.000217127352860202
Gm44992,24.4991088822165,-0.034824258927219,0.0781953149270394,5.72760851336303e-07,0.000247732085495027
Mcm6,13.5909706259167,-2.39053055334183,0.545546696859974,7.4617285460597e-07,0.0003087046868697
Gm29418,36.4293251109798,1.70430282060606,0.393172972501442,7.36277179788211e-07,0.0003087046868697
Prex1,461.276745192219,-0.492903538904931,0.115424327265974,9.03331257109404e-07,0.000365772279873384
Ifitm2,18.0134205127328,3.5540206312625,0.80284188260855,1.05930281250505e-06,0.000419991496349658
Pon2,288.988083855489,0.786082359637952,0.188565734946258,1.29148412463438e-06,0.000501596619916669
Oscar,6.37673211024231,-0.0233673343352594,0.0692956097476721,1.44817721554724e-06,0.000531394447771002
Kif21a,5349.0886087532,-0.386897966254054,0.0916416828909214,1.45197368945889e-06,0.000531394447771002
A930015D03Rik,306.376617834244,-0.94005325294352,0.227005731333079,1.41526393289142e-06,0.000531394447771002
Rnf125,87.2381281499183,1.39132608046522,0.337129595203595,1.49400865954334e-06,0.00053646186414659
Gm17167,12.1699016512926,-4.86336361736307,1.04370102089333,1.76456252724688e-06,0.000621877582519173
1700042O10Rik,287.503943925798,1.28919233166814,0.316293348662354,1.81686257132864e-06,0.000628667483544642
Rnf152,299.707444495956,1.29772840284913,0.319517432584127,1.92707138785146e-06,0.000654894563967879
Gnptg,204.596480561784,-0.675348943289676,0.166586327685243,2.14461410445199e-06,0.000716037737225016
Cep97,754.172613699969,-0.632209422244764,0.156873396305658,2.3405274811264e-06,0.000767975491264077
Stxbp2,72.4166813522301,-1.07007675144386,0.269738022698145,2.94605007566716e-06,0.000950275915085115
Pkmyt1,27.6442322140082,-0.0452710296475351,0.0904975750591135,3.47162042911781e-06,0.00110114013977568
Zfp943,157.271288958881,-0.9251814913251,0.236414857991866,3.64864948459239e-06,0.00113831882526685
Filip1,190.415646326973,-1.1377568741803,0.293690595723326,4.07776239127233e-06,0.00125167574303716
Gm34299,27.3056800849001,-1.61393872839859,0.41618953227516,4.14921732192548e-06,0.00125339293418355
Prss41,21.1824145497699,2.63669887442494,0.669820070749881,4.41325696445101e-06,0.00131232333266355
9530026P05Rik,155.655402074877,0.812533514922129,0.210991137848574,4.8859956947608e-06,0.00143054437026143
Gpsm2,329.396425890191,0.524040295782014,0.136487285897056,5.46905860857291e-06,0.00157699476332956
Zfp365,814.611931549407,0.794188733989128,0.208665690586068,5.66241930099862e-06,0.00160838062264634
Gm2822,16.290795220327,2.90788439033045,0.724068751675253,5.98207328507416e-06,0.00167418877482715
Gm4876,175.441102396293,1.28866985409138,0.343132160109528,6.58542067277723e-06,0.00179038772605176
Mylk,193.458286437361,-0.0125276395339301,0.0645315146226342,6.5539052106499e-06,0.00179038772605176
Gm15594,159.010814159048,0.932272892465103,0.24843057857857,6.75590382530845e-06,0.00181086768590768
Ccnf,30.4880573535582,1.73480555998097,0.46117402165855,7.03300291919446e-06,0.00183349422678342
Sorbs1,844.737153016531,-0.60290186757519,0.160259286501659,7.00161874535901e-06,0.00183349422678342
Nt5c3,547.697354109748,0.852920272065663,0.227872541930406,7.28300685457914e-06,0.00187301220877697
Mobp,8982.88284723925,0.468833475639394,0.124960408199128,7.89883350326056e-06,0.00200430267200736
Cdh19,5223.17999208822,0.467934627725825,0.125514285485971,9.08841533172097e-06,0.00227581094971029
Zfp974,73.5860079259286,-0.925636726593313,0.252776766440372,9.96358685717377e-06,0.00245057654485943
Gm48370,134.192612391975,-0.00522394729621329,0.0629934389256948,1.00438742314663e-05,0.00245057654485943
Gm48678,1839.75998533147,-0.859301415675617,0.236316454393314,1.12194841926727e-05,0.00270275954013612
Camsap2,750.243005226438,0.438194710752236,0.120491475344741,1.21761073867389e-05,0.00289654374596284
Rps6ka1,127.216094347492,-0.731067635932509,0.204944889989424,1.42960637668439e-05,0.00335886900675069
Magi1,4292.77656623849,-0.59070616154321,0.166888870019788,1.59916442726014e-05,0.00369858408827681
Gm35101,5.83520512458819,5.95902067199812,2.50363357078389,1.61306541604212e-05,0.00369858408827681
Gm12762,13.1064447524276,2.78183386710314,0.742466957044925,1.78858887267781e-05,0.00405221843284897
Tgfbr3l,21.5920081434821,-1.859125450135,0.530743615854735,1.8543535627518e-05,0.00415178854737995
Snrpn,787.12609142971,0.492944694112031,0.141757186174453,2.46607747657795e-05,0.00545720005311104
Pla2g4e,63.6372968706908,-1.12481771174565,0.332321284166425,2.59196882460657e-05,0.00566985732196409
Cd59a,132.105168678826,0.72802415806014,0.215436821540035,2.84847658068676e-05,0.00610024711069082
