gene,baseMean,log2FoldChange,lfcSE,pvalue,padj
Xkr4,33.6804628715353,3.32862418261614e-06,0.00144268569314201,0.245040039335276,0.999916966047945
Gm1992,0.815638429278991,1.13898714893088e-07,0.0014426946666359,0.822125261646036,NA
Gm19938,2.18480786387231,1.10645730147295e-07,0.00144269422963937,0.830414964971281,0.999916966047945
Gm37381,0,NA,NA,NA,NA
Rp1,0.117098437756608,1.06096251311165e-07,0.00144269500278998,0.764516728510601,NA
Sox17,0.305013233976207,1.80063367867085e-07,0.00144269500477765,0.637141443059216,NA
Gm37323,0.054699753370396,-1.08619775007578e-07,0.00144269500973373,0.928078194692248,NA
Mrpl15,12.1450491866514,-2.6508512070272e-06,0.00144269127870105,0.537555107133014,0.999916966047945
Lypla1,32.1657299442919,-2.36989953601257e-06,0.00144268359860654,0.425356560328711,0.999916966047945
Tcea1,59.0769384316367,5.91910342117857e-07,0.00144267645030292,0.872614201504629,0.999916966047945
Rgs20,23.0594362168735,2.2438127487275e-06,0.00144269165054564,0.213817122124008,0.999916966047945
Gm16041,0,NA,NA,NA,NA
Atp6v1h,66.2600724401266,-1.30251970530912e-07,0.00144267225515088,0.973126083465827,0.999916966047945
Oprk1,0.46118877810289,3.86531474249831e-07,0.00144269493443598,0.377037886956309,NA
Npbwr1,0,NA,NA,NA,NA
Rb1cc1,116.035986924191,-2.39953059112654e-07,0.00144267115963807,0.95254040841838,0.999916966047945
4732440D04Rik,32.9876999351896,-1.11586992586027e-06,0.00144268348104614,0.70008183980192,0.999916966047945
Alkal1,0.79714260937303,-2.60153493747296e-07,0.00144269493934223,0.827862551760827,NA
St18,79.6692994757121,1.80058649721632e-06,0.00144269158685726,0.29655756820204,0.999916966047945
Pcmtd1,141.946926917772,-3.8543216520673e-06,0.00144265040068322,0.50939465134505,0.999916966047945
Gm26901,1.48744317557929,-8.29909169547442e-07,0.00144269478786342,0.188083295894283,NA
Gm30414,0,NA,NA,NA,NA
Sntg1,23.8185178432064,8.06371563632429e-07,0.00144268790256573,0.724101060135662,0.999916966047945
Rrs1,3.43244402313134,1.03843380273332e-06,0.00144269353726423,0.342440072375695,0.999916966047945
Adhfe1,41.6813706778769,3.00813644301811e-06,0.00144268181085449,0.361999515158737,0.999916966047945
2610203C22Rik,5.90205019560518,-9.26383798591166e-07,0.00144269317933945,0.445959975557513,0.999916966047945
Vxn,1.62547167394708,4.25078913025321e-07,0.00144269461585116,0.462360955495995,NA
Mybl1,3.30480036341935,4.50158970927265e-07,0.00144269361087887,0.672213199578701,0.999916966047945
Vcpip1,24.6474417519911,1.73929086644411e-06,0.0014426852049975,0.523139011830482,0.999916966047945
1700034P13Rik,0.714271208104657,2.55148303812132e-07,0.00144269470482373,0.600449952227272,NA
Sgk3,28.6501487072014,1.68380146584899e-07,0.00144268613792834,0.948220849210678,0.999916966047945
Mcmdc2,0.89721155775619,-2.87333952848085e-07,0.00144269470517679,0.638726119436835,NA
Snhg6,1.5775446300439,1.88106279188523e-07,0.00144269436524178,0.785693479969185,NA
Tcf24,0.769773445310158,7.98787461534595e-08,0.00144269483759184,0.773425758651866,NA
Ppp1r42,0.603872436838056,-4.50588924506368e-07,0.00144269492112491,0.354874556855122,NA
Gm15818,0,NA,NA,NA,NA
Cops5,26.1681569131729,-1.97702725816831e-06,0.00144268644155832,0.447403205228093,0.999916966047945
Cspp1,97.2888840921972,3.2528275339028e-06,0.00144266611034737,0.489281443221612,0.999916966047945
Arfgef1,99.7968275114931,-1.667335881502e-06,0.00144265943377011,0.743088521545122,0.999916966047945
